player,power
Forky,152.53
CTLuNaHaRu,75.74
ChefInduced,58.73
Arata,44.15
Rename,100.8
CuteHa,54.44
NKH,60.36
Kem,49.48
AEEY,85.99
PQH,57.46
Mikami,43.36
Hakuji,42.61
OGTempest,86.23
Acnologia,56.07
KinkyLoveLady,42.71
Crables,47.86
UchihaAries,49.99
Suzy,44.04
Rename,55.22
Hanari,68.68
Pooh,88.94
RV,52.73
InducedA,47.49
KimTrong,48.95
xHarvester,68.37
CT-LadyDYOR,44.41
red_1,49.94
ThunderSon,50.98
BigDaddyJ,68.87
CleverGirl,75.32
Masterhimself,48.31
PhiPhi,41.8
VanJZ,48.94
Grim,73
GAYGAYGAY,58.29
illnoNTA,49.97
Drakov2,65.92
ZhaoFeL,43.69
InducedA,54.38
Twix,47.67
Hourensou,63.93
Ravendarks,56.88
NhanThapCam,45.46
CTxCua,46.61
TANJIROaisaav,69.05
InducedA,53.58
xFaji,54.88
ThayOngNoi,42.69
BlackReaper,63.1
SukMaDingDong,37.79
Klee,50.48
VIETNAM,42.42
JasonLovesLefty,64.56
TAMtam,44.23
ADayLater,36.61
0k,44.01
Jeiku,74.02
RikuganGojo,49.71
CTxGramps,46.71
SHIKANOKONOKO,39.79
ForkysDad,63.84
BigBabyJ,52.43
CuteKurt,43.62
bacuaboi,46.06
